data,chuva_mm
2015-07-17,15.40
2015-07-18,0.00
2015-07-19,0.00
2015-07-20,0.00
2015-07-21,1.80
2015-07-22,0.00
2015-07-23,0.00
2015-07-24,1.20
2015-07-25,1.00
2015-07-26,0.00
2015-07-27,0.00
2015-07-28,0.00
2015-07-29,0.20
2015-07-30,0.00
2015-07-31,0.00
2015-08-01,0.00
2015-08-02,0.00
2015-08-03,0.00
2015-08-04,0.00
2015-08-05,0.00
2015-08-06,0.00
2015-08-07,0.00
2015-08-08,0.00
2015-08-09,0.00
2015-08-10,0.00
2015-08-11,0.00
2015-08-12,0.00
2015-08-13,0.00
2015-08-14,0.00
2015-08-15,0.00
2015-08-16,0.00
2015-08-17,0.00
2015-08-18,0.60
2015-08-19,5.20
2015-08-20,0.00
2015-08-21,0.00
2015-08-22,0.00
2015-08-23,0.00
2015-08-24,6.00
2015-08-25,10.60
2015-08-26,0.00
2015-08-27,35.00
2015-08-28,0.00
2015-08-29,0.00
2015-08-30,0.00
2015-08-31,0.00
2015-09-01,0.00
2015-09-02,0.00
2015-09-03,0.00
2015-09-04,0.00
2015-09-05,0.00
2015-09-06,1.20
2015-09-07,6.00
2015-09-08,76.40
2015-09-09,4.80
2015-09-10,28.20
2015-09-11,2.60
2015-09-12,0.00
2015-09-13,0.00
2015-09-14,0.00
2015-09-15,0.00
2015-09-16,0.00
2015-09-17,0.00
2015-09-18,8.60
2015-09-19,0.00
2015-09-20,0.00
2015-09-21,0.20
2015-09-22,0.00
2015-09-23,0.00
2015-09-24,0.00
2015-09-25,0.00
2015-09-26,0.00
2015-09-27,0.20
2015-09-28,0.00
2015-09-29,0.00
2015-09-30,4.80
2015-10-01,0.20
2015-10-02,0.00
2015-10-03,47.80
2015-10-04,0.00
2015-10-05,0.00
2015-10-06,0.00
2015-10-07,0.00
2015-10-08,0.00
2015-10-09,35.60
2015-10-10,22.40
2015-10-11,35.60
2015-10-12,17.40
2015-10-13,3.80
2015-10-14,0.00
2015-10-15,0.00
2015-10-16,0.00
2015-10-17,0.00
2015-10-18,0.00
2015-10-19,0.00
2015-10-20,0.00
2015-10-21,0.00
2015-10-22,30.20
2015-10-23,9.00
2015-10-24,0.00
2015-10-25,5.60
2015-10-26,0.00
2015-10-27,47.40
2015-10-28,0.00
2015-10-29,0.00
2015-10-30,0.00
2015-10-31,6.40
2015-11-01,3.20
2015-11-02,0.00
2015-11-03,5.60
2015-11-04,7.20
2015-11-05,1.40
2015-11-06,18.00
2015-11-07,0.00
2015-11-08,13.60
2015-11-09,3.40
2015-11-10,0.00
2015-11-11,0.00
2015-11-12,0.00
2015-11-13,0.20
2015-11-14,21.00
2015-11-15,4.20
2015-11-16,34.80
2015-11-17,31.20
2015-11-18,5.00
2015-11-19,4.00
2015-11-20,39.80
2015-11-21,0.00
2015-11-22,0.00
2015-11-23,16.40
2015-11-24,17.20
2015-11-25,8.20
2015-11-26,0.00
2015-11-27,0.00
2015-11-28,24.00
2015-11-29,4.80
2015-11-30,17.00
2015-12-01,4.40
2015-12-02,45.00
2015-12-03,12.60
2015-12-04,6.40
2015-12-05,0.40
2015-12-06,26.20
2015-12-07,0.20
2015-12-08,0.00
2015-12-09,0.00
2015-12-10,37.80
2015-12-11,11.40
2015-12-12,15.60
2015-12-13,0.00
2015-12-14,15.20
2015-12-15,1.00
2015-12-16,1.00
2015-12-17,0.00
2015-12-18,5.20
2015-12-19,30.20
2015-12-20,2.40
2015-12-21,0.00
2015-12-22,0.00
2015-12-23,11.80
2015-12-24,0.80
2015-12-25,15.80
2015-12-26,15.80
2015-12-27,2.40
2015-12-28,6.40
2015-12-29,52.40
2015-12-30,10.00
2015-12-31,4.80
2016-01-01,2.00
2016-01-02,0.00
2016-01-03,7.80
2016-01-04,0.40
2016-01-05,0.00
2016-01-06,0.00
2016-01-07,0.00
2016-01-08,0.00
2016-01-09,22.40
2016-01-10,75.00
2016-01-11,140.20
2016-01-12,33.00
2016-01-13,10.20
2016-01-14,0.00
2016-01-15,0.00
2016-01-16,0.00
2016-01-17,0.00
2016-01-18,0.00
2016-01-19,0.00
2016-01-20,1.20
2016-01-21,0.00
2016-01-22,0.00
2016-01-23,0.00
2016-01-24,0.00
2016-01-25,3.00
2016-01-26,0.00
2016-01-27,0.80
2016-01-28,0.00
2016-01-29,0.00
2016-01-30,1.60
2016-01-31,1.60
2016-02-01,5.60
2016-02-02,0.00
2016-02-03,5.00
2016-02-04,49.00
2016-02-05,0.60
2016-02-06,0.00
2016-02-07,0.00
2016-02-08,0.00
2016-02-09,0.00
2016-02-10,23.20
2016-02-11,1.20
2016-02-12,7.00
2016-02-13,0.00
2016-02-14,1.80
2016-02-15,0.00
2016-02-16,0.20
2016-02-17,41.20
2016-02-18,0.60
2016-02-19,0.00
2016-02-20,7.20
2016-02-21,62.40
2016-02-22,9.40
2016-02-23,49.20
2016-02-24,3.60
2016-02-25,8.80
2016-02-26,0.00
2016-02-27,48.40
2016-02-28,10.60
2016-02-29,0.20
2016-03-01,0.00
2016-03-02,0.20
2016-03-03,3.60
2016-03-04,0.00
2016-03-05,0.00
2016-03-06,0.00
2016-03-07,0.00
2016-03-08,0.00
2016-03-09,57.80
2016-03-10,29.60
2016-03-11,0.00
2016-03-12,0.00
2016-03-13,0.00
2016-03-14,0.00
2016-03-15,0.00
2016-03-16,7.00
2016-03-17,0.00
2016-03-18,0.00
2016-03-19,0.00
2016-03-20,0.00
2016-03-21,0.00
2016-03-22,11.20
2016-03-23,37.00
2016-03-24,0.80
2016-03-25,16.40
2016-03-26,3.60
2016-03-27,0.00
2016-03-28,0.00
2016-03-29,0.00
2016-03-30,0.00
2016-03-31,1.60
2016-04-01,0.20
2016-04-02,0.00
2016-04-03,0.00
2016-04-04,0.00
2016-04-05,0.00
2016-04-06,0.00
2016-04-07,0.00
2016-04-08,0.00
2016-04-09,0.00
2016-04-10,0.00
2016-04-11,28.20
2016-04-12,0.20
2016-04-13,0.00
2016-04-14,0.00
2016-04-15,0.00
2016-04-16,0.00
2016-04-17,0.00
2016-04-18,0.00
2016-04-19,0.00
2016-04-20,0.00
2016-04-21,0.00
2016-04-22,0.00
2016-04-23,0.00
2016-04-24,0.00
2016-04-25,21.60
2016-04-26,55.40
2016-04-27,0.60
2016-04-28,0.20
2016-04-29,0.00
2016-04-30,0.00
2016-05-01,0.00
2016-05-02,0.20
2016-05-03,0.00
2016-05-04,0.00
2016-05-05,0.00
2016-05-06,0.20
2016-05-07,1.00
2016-05-08,22.60
2016-05-09,68.00
2016-05-10,18.80
2016-05-11,0.20
2016-05-12,0.00
2016-05-13,0.00
2016-05-14,0.00
2016-05-15,0.00
2016-05-16,6.00
2016-05-17,0.00
2016-05-18,10.40
2016-05-19,0.00
2016-05-20,16.00
2016-05-21,27.40
2016-05-22,23.80
2016-05-23,0.20
2016-05-24,0.20
2016-05-25,0.00
2016-05-26,0.00
2016-05-27,7.00
2016-05-28,10.20
2016-05-29,40.00
2016-05-30,27.40
2016-05-31,4.00
2016-06-01,3.00
2016-06-02,7.00
2016-06-03,0.00
2016-06-04,16.60
2016-06-05,25.40
2016-06-06,22.60
2016-06-07,0.80
2016-06-08,0.60
2016-06-09,0.00
2016-06-10,0.00
2016-06-11,0.00
2016-06-12,0.60
2016-06-13,0.20
2016-06-14,0.00
2016-06-15,0.00
2016-06-16,0.00
2016-06-17,0.00
2016-06-18,0.00
2016-06-19,0.00
2016-06-20,7.60
2016-06-21,0.00
2016-06-22,12.60
2016-06-23,0.00
2016-06-24,0.00
2016-06-25,0.00
2016-06-26,0.00
2016-06-27,0.00
2016-06-28,0.00
2016-06-29,0.00
2016-06-30,0.00
2016-07-01,0.00
2016-07-02,0.00
2016-07-03,0.00
2016-07-04,0.00
2016-07-05,0.00
2016-07-06,1.80
2016-07-07,0.00
2016-07-08,0.00
2016-07-09,0.00
2016-07-10,0.00
2016-07-11,0.00
2016-07-12,0.00
2016-07-13,0.00
2016-07-14,0.00
2016-07-15,6.40
2016-07-16,52.40
2016-07-17,0.00
2016-07-18,0.00
2016-07-19,0.20
2016-07-20,0.00
2016-07-21,0.00
2016-07-22,0.00
2016-07-23,0.00
2016-07-24,0.00
2016-07-25,0.00
2016-07-26,0.00
2016-07-27,0.00
2016-07-28,0.00
2016-07-29,0.00
2016-07-30,0.00
2016-07-31,0.00
2016-08-01,0.00
2016-08-02,0.00
2016-08-03,0.00
2016-08-04,0.00
2016-08-05,0.00
2016-08-06,0.00
2016-08-07,0.00
2016-08-08,0.00
2016-08-09,31.20
2016-08-10,0.00
2016-08-11,0.00
2016-08-12,0.00
2016-08-13,0.00
2016-08-14,0.00
2016-08-15,6.60
2016-08-16,1.20
2016-08-17,0.00
2016-08-18,31.60
2016-08-19,3.40
2016-08-20,71.20
2016-08-21,5.60
2016-08-22,0.00
2016-08-23,0.00
2016-08-24,0.00
2016-08-25,0.00
2016-08-26,0.00
2016-08-27,0.00
2016-08-28,0.00
2016-08-29,0.00
2016-08-30,32.20
2016-08-31,1.60
2016-09-01,0.00
2016-09-02,0.00
2016-09-03,8.80
2016-09-04,13.20
2016-09-05,5.60
2016-09-06,3.40
2016-09-07,0.00
2016-09-08,0.00
2016-09-09,0.00
2016-09-10,0.00
2016-09-11,0.00
2016-09-12,0.00
2016-09-13,3.20
2016-09-14,0.60
2016-09-15,0.00
2016-09-16,0.00
2016-09-17,0.00
2016-09-18,0.80
2016-09-19,13.40
2016-09-20,0.00
2016-09-21,0.00
2016-09-22,0.00
2016-09-23,0.00
2016-09-24,0.00
2016-09-25,1.40
2016-09-26,0.00
2016-09-27,0.00
2016-09-28,0.00
2016-09-29,0.00
2016-09-30,0.00
2016-10-01,0.00
2016-10-02,0.00
2016-10-03,12.00
2016-10-04,0.20
2016-10-05,0.00
2016-10-06,0.80
2016-10-07,0.00
2016-10-08,0.00
2016-10-09,0.00
2016-10-10,0.00
2016-10-11,3.80
2016-10-12,0.00
2016-10-13,70.60
2016-10-14,34.00
2016-10-15,0.00
2016-10-16,0.00
2016-10-17,0.00
2016-10-18,0.00
2016-10-19,0.20
2016-10-20,13.40
2016-10-21,0.00
2016-10-22,0.00
2016-10-23,0.00
2016-10-24,8.00
2016-10-25,13.80
2016-10-26,24.80
2016-10-27,2.60
2016-10-28,0.00
2016-10-29,0.00
2016-10-30,0.00
2016-10-31,0.00
2016-11-01,0.00
2016-11-02,7.80
2016-11-03,0.00
2016-11-04,13.40
2016-11-05,0.00
