Mes,Dia,Hora,etp
02,01,23,0.00000
02,02,00,0.00000
02,02,01,0.00000
02,02,02,0.00000
02,02,03,0.00000
02,02,04,0.00000
02,02,05,0.00000
02,02,06,0.00000
02,02,07,0.15091
02,02,08,0.27727
02,02,09,0.37909
02,02,10,0.45636
02,02,11,0.50545
02,02,12,0.53182
02,02,13,0.53182
02,02,14,0.50545
02,02,15,0.45636
02,02,16,0.37909
02,02,17,0.27727
02,02,18,0.15091
02,02,19,0.00000
02,02,20,0.00000
02,02,21,0.00000
02,02,22,0.00000
02,02,23,0.00000
02,03,00,0.00000
02,03,01,0.00000
02,03,02,0.00000
02,03,03,0.00000
02,03,04,0.00000
02,03,05,0.00000
02,03,06,0.00000
02,03,07,0.15636
02,03,08,0.28818
02,03,09,0.39455
02,03,10,0.47091
02,03,11,0.52364
02,03,12,0.54909
02,03,13,0.54909
02,03,14,0.52364
02,03,15,0.47091
02,03,16,0.39455
02,03,17,0.28818
02,03,18,0.15636
02,03,19,0.00000
02,03,20,0.00000
02,03,21,0.00000
02,03,22,0.00000
02,03,23,0.00000
02,04,00,0.00000
02,04,01,0.00000
02,04,02,0.00000
02,04,03,0.00000
02,04,04,0.00000
02,04,05,0.00000
02,04,06,0.00000
02,04,07,0.13818
02,04,08,0.25727
02,04,09,0.34727
02,04,10,0.41909
02,04,11,0.46727
02,04,12,0.49000
02,04,13,0.49000
02,04,14,0.46727
02,04,15,0.41909
02,04,16,0.34727
02,04,17,0.25727
02,04,18,0.13818
02,04,19,0.00000
02,04,20,0.00000
02,04,21,0.00000
02,04,22,0.00000
02,04,23,0.00000
02,05,00,0.00000
02,05,01,0.00000
02,05,02,0.00000
02,05,03,0.00000
02,05,04,0.00000
02,05,05,0.00000
02,05,06,0.00000
02,05,07,0.15545
02,05,08,0.28273
02,05,09,0.38364
02,05,10,0.46182
02,05,11,0.51273
02,05,12,0.53909
02,05,13,0.53909
02,05,14,0.51273
02,05,15,0.46182
02,05,16,0.38364
02,05,17,0.28273
02,05,18,0.15545
02,05,19,0.00000
02,05,20,0.00000
02,05,21,0.00000
02,05,22,0.00000
02,05,23,0.00000
02,06,00,0.00000
02,06,01,0.00000
02,06,02,0.00000
02,06,03,0.00000
02,06,04,0.00000
02,06,05,0.00000
02,06,06,0.00000
02,06,07,0.18636
02,06,08,0.34364
02,06,09,0.46909
02,06,10,0.56091
02,06,11,0.62727
02,06,12,0.65636
02,06,13,0.65636
02,06,14,0.62727
02,06,15,0.56091
02,06,16,0.46909
02,06,17,0.34364
02,06,18,0.18636
02,06,19,0.00000
02,06,20,0.00000
02,06,21,0.00000
02,06,22,0.00000
02,06,23,0.00000
02,07,00,0.00000
02,07,01,0.00000
02,07,02,0.00000
02,07,03,0.00000
02,07,04,0.00000
02,07,05,0.00000
02,07,06,0.00000
02,07,07,0.16091
02,07,08,0.29545
02,07,09,0.40000
02,07,10,0.48000
02,07,11,0.53455
02,07,12,0.56000
02,07,13,0.56000
02,07,14,0.53455
02,07,15,0.48000
02,07,16,0.40000
02,07,17,0.29545
02,07,18,0.16091
02,07,19,0.00000
02,07,20,0.00000
02,07,21,0.00000
02,07,22,0.00000
02,07,23,0.00000
02,08,00,0.00000
02,08,01,0.00000
02,08,02,0.00000
02,08,03,0.00000
02,08,04,0.00000
02,08,05,0.00000
02,08,06,0.00000
02,08,07,0.15909
02,08,08,0.29273
02,08,09,0.39818
02,08,10,0.47636
02,08,11,0.53000
02,08,12,0.55727
02,08,13,0.55727
02,08,14,0.53000
02,08,15,0.47636
